Equipo,Grupo,Escudo,Portero1,Portero2,JC1,JC2,JC3,JC4,JC5,JC6,JC7,JC8,JC9,JC10,JC11,JC12,JC13,JC14,JC15,JC16
QAT,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENG,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRN,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAL,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KSA,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEN,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUN,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GER,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRO,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUI,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POR,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URU,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
